object_index,object_name,sam3_short,sam3_dense,sam3_instruction,sam3_negative,florence_short,florence_detailed,florence_tag,llava_short,llava_detailed,llava_dense,qwen_short,qwen_detailed,qwen_dense,clip_short,clip_dense,open_vocab_1,open_vocab_2,coco,densecap,vg_region,nocaps,retrieval,vqa,minimal,minimal_attr,synthetic_structured,object_only,shape_material,color_focus,category_only,segmentation_hard,segmentation_soft
28,rc_car,red and orange remote control car,a remote control car in red and orange color with a small car body with wheels and visible details.,Segment only the red remote control car in the scene.,Ignore all other objects and background; segment only the red remote control car.,A remote control car in red and orange color.,A remote control car in red and orange color showing a small car body with wheels and visible details as a distinct red and orange toy vehicle.,"red remote control car, toy vehicle",a remote control car in red and orange color as the main toy vehicle.,"A remote control car in red and orange color with clear a small car body with wheels and visible details, standing out from the background.","A remote control car in red and orange color, detailed toy vehicle object with a small car body with wheels and visible details.",a remote control car in red and orange color.,A remote control car in red and orange color that can be recognized as a toy vehicle with a small car body with wheels and visible details.,"A remote control car in red and orange color acting as the primary toy vehicle in the image, characterized by a small car body with wheels and visible details.",red and orange remote control car,a small car body with wheels and visible details toy vehicle red remote control car,A distinctive toy vehicle: red remote control car.,"Unique toy vehicle instance, namely a remote control car in red and orange color.",A remote control car in red and orange color is visible in the scene.,A remote control car in red and orange color with a small car body with wheels and visible details is located prominently.,A remote control car in red and orange color serving as a toy vehicle region.,A remote control car in red and orange color appears as the key toy vehicle.,"red and orange remote control car, a toy vehicle with a small car body with wheels and visible details.",The object is a remote control car in red and orange color.,red remote control car,toy vehicle red remote control car,object=remote control car; type=toy vehicle; color=red and orange; detail=a small car body with wheels and visible details,a remote control car in red and orange color.,A remote control car in red and orange color with shape and structure described as: a small car body with wheels and visible details.,A remote control car in red and orange color whose appearance is dominated by red and orange tones.,red and orange toy vehicle,Strictly select the red remote control car mask and exclude every other object and background pixel.,Focus the segmentation on the red remote control car region as the main toy vehicle.
29,red_cartoon,red red cartoon toy,a red cartoon toy in red color with a stylized character body.,Segment only the red red cartoon toy in the scene.,Ignore all other objects and background; segment only the red red cartoon toy.,A red cartoon toy in red color.,A red cartoon toy in red color showing a stylized character body as a distinct red toy figure.,"red red cartoon toy, toy figure",a red cartoon toy in red color as the main toy figure.,"A red cartoon toy in red color with clear a stylized character body, standing out from the background.","A red cartoon toy in red color, detailed toy figure object with a stylized character body.",a red cartoon toy in red color.,A red cartoon toy in red color that can be recognized as a toy figure with a stylized character body.,"A red cartoon toy in red color acting as the primary toy figure in the image, characterized by a stylized character body.",red red cartoon toy,a stylized character body toy figure red red cartoon toy,A distinctive toy figure: red red cartoon toy.,"Unique toy figure instance, namely a red cartoon toy in red color.",A red cartoon toy in red color is visible in the scene.,A red cartoon toy in red color with a stylized character body is located prominently.,A red cartoon toy in red color serving as a toy figure region.,A red cartoon toy in red color appears as the key toy figure.,"red red cartoon toy, a toy figure with a stylized character body.",The object is a red cartoon toy in red color.,red red cartoon toy,toy figure red red cartoon toy,object=red cartoon toy; type=toy figure; color=red; detail=a stylized character body,a red cartoon toy in red color.,A red cartoon toy in red color with shape and structure described as: a stylized character body.,A red cartoon toy in red color whose appearance is dominated by red tones.,red toy figure,Strictly select the red red cartoon toy mask and exclude every other object and background pixel.,Focus the segmentation on the red red cartoon toy region as the main toy figure.
30,robot_toy,blue and black robot toy,a robot toy in blue and black color with a mechanical-looking body with limbs and head.,Segment only the blue robot toy in the scene.,Ignore all other objects and background; segment only the blue robot toy.,A robot toy in blue and black color.,A robot toy in blue and black color showing a mechanical-looking body with limbs and head as a distinct blue and black toy figure.,"blue robot toy, toy figure",a robot toy in blue and black color as the main toy figure.,"A robot toy in blue and black color with clear a mechanical-looking body with limbs and head, standing out from the background.","A robot toy in blue and black color, detailed toy figure object with a mechanical-looking body with limbs and head.",a robot toy in blue and black color.,A robot toy in blue and black color that can be recognized as a toy figure with a mechanical-looking body with limbs and head.,"A robot toy in blue and black color acting as the primary toy figure in the image, characterized by a mechanical-looking body with limbs and head.",blue and black robot toy,a mechanical-looking body with limbs and head toy figure blue robot toy,A distinctive toy figure: blue robot toy.,"Unique toy figure instance, namely a robot toy in blue and black color.",A robot toy in blue and black color is visible in the scene.,A robot toy in blue and black color with a mechanical-looking body with limbs and head is located prominently.,A robot toy in blue and black color serving as a toy figure region.,A robot toy in blue and black color appears as the key toy figure.,"blue and black robot toy, a toy figure with a mechanical-looking body with limbs and head.",The object is a robot toy in blue and black color.,blue robot toy,toy figure blue robot toy,object=robot toy; type=toy figure; color=blue and black; detail=a mechanical-looking body with limbs and head,a robot toy in blue and black color.,A robot toy in blue and black color with shape and structure described as: a mechanical-looking body with limbs and head.,A robot toy in blue and black color whose appearance is dominated by blue and black tones.,blue and black toy figure,Strictly select the blue robot toy mask and exclude every other object and background pixel.,Focus the segmentation on the blue robot toy region as the main toy figure.
31,round_bird,brown and orange round bird figure,a round bird figure in brown and orange color with a spherical body with a beak and small wings.,Segment only the brown round bird figure in the scene.,Ignore all other objects and background; segment only the brown round bird figure.,A round bird figure in brown and orange color.,A round bird figure in brown and orange color showing a spherical body with a beak and small wings as a distinct brown and orange bird figure.,"brown round bird figure, bird figure",a round bird figure in brown and orange color as the main bird figure.,"A round bird figure in brown and orange color with clear a spherical body with a beak and small wings, standing out from the background.","A round bird figure in brown and orange color, detailed bird figure object with a spherical body with a beak and small wings.",a round bird figure in brown and orange color.,A round bird figure in brown and orange color that can be recognized as a bird figure with a spherical body with a beak and small wings.,"A round bird figure in brown and orange color acting as the primary bird figure in the image, characterized by a spherical body with a beak and small wings.",brown and orange round bird figure,a spherical body with a beak and small wings bird figure brown round bird figure,A distinctive bird figure: brown round bird figure.,"Unique bird figure instance, namely a round bird figure in brown and orange color.",A round bird figure in brown and orange color is visible in the scene.,A round bird figure in brown and orange color with a spherical body with a beak and small wings is located prominently.,A round bird figure in brown and orange color serving as a bird figure region.,A round bird figure in brown and orange color appears as the key bird figure.,"brown and orange round bird figure, a bird figure with a spherical body with a beak and small wings.",The object is a round bird figure in brown and orange color.,brown round bird figure,bird figure brown round bird figure,object=round bird figure; type=bird figure; color=brown and orange; detail=a spherical body with a beak and small wings,a round bird figure in brown and orange color.,A round bird figure in brown and orange color with shape and structure described as: a spherical body with a beak and small wings.,A round bird figure in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange bird figure,Strictly select the brown round bird figure mask and exclude every other object and background pixel.,Focus the segmentation on the brown round bird figure region as the main bird figure.
32,shiny_sneaker,white and gray shiny sneaker shoe,a shiny sneaker shoe in white and gray color with a smooth upper with laces and sole.,Segment only the white shiny sneaker in the scene.,Ignore all other objects and background; segment only the white shiny sneaker.,A shiny sneaker shoe in white and gray color.,A shiny sneaker shoe in white and gray color showing a smooth upper with laces and sole as a distinct white and gray shoe.,"white shiny sneaker, shoe",a shiny sneaker shoe in white and gray color as the main shoe.,"A shiny sneaker shoe in white and gray color with clear a smooth upper with laces and sole, standing out from the background.","A shiny sneaker shoe in white and gray color, detailed shoe object with a smooth upper with laces and sole.",a shiny sneaker shoe in white and gray color.,A shiny sneaker shoe in white and gray color that can be recognized as a shoe with a smooth upper with laces and sole.,"A shiny sneaker shoe in white and gray color acting as the primary shoe in the image, characterized by a smooth upper with laces and sole.",white and gray shiny sneaker shoe,a smooth upper with laces and sole shoe white shiny sneaker,A distinctive shoe: white shiny sneaker.,"Unique shoe instance, namely a shiny sneaker shoe in white and gray color.",A shiny sneaker shoe in white and gray color is visible in the scene.,A shiny sneaker shoe in white and gray color with a smooth upper with laces and sole is located prominently.,A shiny sneaker shoe in white and gray color serving as a shoe region.,A shiny sneaker shoe in white and gray color appears as the key shoe.,"white and gray shiny sneaker shoe, a shoe with a smooth upper with laces and sole.",The object is a shiny sneaker shoe in white and gray color.,white shiny sneaker,shoe white shiny sneaker,object=shiny sneaker; type=shoe; color=white and gray; detail=a smooth upper with laces and sole,a shiny sneaker shoe in white and gray color.,A shiny sneaker shoe in white and gray color with shape and structure described as: a smooth upper with laces and sole.,A shiny sneaker shoe in white and gray color whose appearance is dominated by white and gray tones.,white and gray shoe,Strictly select the white shiny sneaker mask and exclude every other object and background pixel.,Focus the segmentation on the white shiny sneaker region as the main shoe.
33,table,brown and gray table,a table in brown and gray color with a flat tabletop supported by legs.,Segment only the brown table in the scene.,Ignore all other objects and background; segment only the brown table.,A table in brown and gray color.,A table in brown and gray color showing a flat tabletop supported by legs as a distinct brown and gray furniture.,"brown table, furniture",a table in brown and gray color as the main furniture.,"A table in brown and gray color with clear a flat tabletop supported by legs, standing out from the background.","A table in brown and gray color, detailed furniture object with a flat tabletop supported by legs.",a table in brown and gray color.,A table in brown and gray color that can be recognized as a furniture with a flat tabletop supported by legs.,"A table in brown and gray color acting as the primary furniture in the image, characterized by a flat tabletop supported by legs.",brown and gray table,a flat tabletop supported by legs furniture brown table,A distinctive furniture: brown table.,"Unique furniture instance, namely a table in brown and gray color.",A table in brown and gray color is visible in the scene.,A table in brown and gray color with a flat tabletop supported by legs is located prominently.,A table in brown and gray color serving as a furniture region.,A table in brown and gray color appears as the key furniture.,"brown and gray table, a furniture with a flat tabletop supported by legs.",The object is a table in brown and gray color.,brown table,furniture brown table,object=table; type=furniture; color=brown and gray; detail=a flat tabletop supported by legs,a table in brown and gray color.,A table in brown and gray color with shape and structure described as: a flat tabletop supported by legs.,A table in brown and gray color whose appearance is dominated by brown and gray tones.,brown and gray furniture,Strictly select the brown table mask and exclude every other object and background pixel.,Focus the segmentation on the brown table region as the main furniture.
34,teapot,red and black ceramic teapot,"a ceramic teapot in red and black color with a round body with a lid, spout and handle.",Segment only the red ceramic teapot in the scene.,Ignore all other objects and background; segment only the red ceramic teapot.,A ceramic teapot in red and black color.,"A ceramic teapot in red and black color showing a round body with a lid, spout and handle as a distinct red and black kitchenware item.","red ceramic teapot, kitchenware item",a ceramic teapot in red and black color as the main kitchenware item.,"A ceramic teapot in red and black color with clear a round body with a lid, spout and handle, standing out from the background.","A ceramic teapot in red and black color, detailed kitchenware item object with a round body with a lid, spout and handle.",a ceramic teapot in red and black color.,"A ceramic teapot in red and black color that can be recognized as a kitchenware item with a round body with a lid, spout and handle.","A ceramic teapot in red and black color acting as the primary kitchenware item in the image, characterized by a round body with a lid, spout and handle.",red and black ceramic teapot,"a round body with a lid, spout and handle kitchenware item red ceramic teapot",A distinctive kitchenware item: red ceramic teapot.,"Unique kitchenware item instance, namely a ceramic teapot in red and black color.",A ceramic teapot in red and black color is visible in the scene.,"A ceramic teapot in red and black color with a round body with a lid, spout and handle is located prominently.",A ceramic teapot in red and black color serving as a kitchenware item region.,A ceramic teapot in red and black color appears as the key kitchenware item.,"red and black ceramic teapot, a kitchenware item with a round body with a lid, spout and handle.",The object is a ceramic teapot in red and black color.,red ceramic teapot,kitchenware item red ceramic teapot,"object=ceramic teapot; type=kitchenware item; color=red and black; detail=a round body with a lid, spout and handle",a ceramic teapot in red and black color.,"A ceramic teapot in red and black color with shape and structure described as: a round body with a lid, spout and handle.",A ceramic teapot in red and black color whose appearance is dominated by red and black tones.,red and black kitchenware item,Strictly select the red ceramic teapot mask and exclude every other object and background pixel.,Focus the segmentation on the red ceramic teapot region as the main kitchenware item.
35,teddybear,orange and yellow teddy bear plush toy,"a teddy bear plush toy in orange and yellow color with soft fabric bear body with arms, legs and ears.",Segment only the orange teddy bear plush toy in the scene.,Ignore all other objects and background; segment only the orange teddy bear plush toy.,A teddy bear plush toy in orange and yellow color.,"A teddy bear plush toy in orange and yellow color showing soft fabric bear body with arms, legs and ears as a distinct orange and yellow plush toy.","orange teddy bear plush toy, plush toy",a teddy bear plush toy in orange and yellow color as the main plush toy.,"A teddy bear plush toy in orange and yellow color with clear soft fabric bear body with arms, legs and ears, standing out from the background.","A teddy bear plush toy in orange and yellow color, detailed plush toy object with soft fabric bear body with arms, legs and ears.",a teddy bear plush toy in orange and yellow color.,"A teddy bear plush toy in orange and yellow color that can be recognized as a plush toy with soft fabric bear body with arms, legs and ears.","A teddy bear plush toy in orange and yellow color acting as the primary plush toy in the image, characterized by soft fabric bear body with arms, legs and ears.",orange and yellow teddy bear plush toy,"soft fabric bear body with arms, legs and ears plush toy orange teddy bear plush toy",A distinctive plush toy: orange teddy bear plush toy.,"Unique plush toy instance, namely a teddy bear plush toy in orange and yellow color.",A teddy bear plush toy in orange and yellow color is visible in the scene.,"A teddy bear plush toy in orange and yellow color with soft fabric bear body with arms, legs and ears is located prominently.",A teddy bear plush toy in orange and yellow color serving as a plush toy region.,A teddy bear plush toy in orange and yellow color appears as the key plush toy.,"orange and yellow teddy bear plush toy, a plush toy with soft fabric bear body with arms, legs and ears.",The object is a teddy bear plush toy in orange and yellow color.,orange teddy bear plush toy,plush toy orange teddy bear plush toy,"object=teddy bear plush toy; type=plush toy; color=orange and yellow; detail=soft fabric bear body with arms, legs and ears",a teddy bear plush toy in orange and yellow color.,"A teddy bear plush toy in orange and yellow color with shape and structure described as: soft fabric bear body with arms, legs and ears.",A teddy bear plush toy in orange and yellow color whose appearance is dominated by orange and yellow tones.,orange and yellow plush toy,Strictly select the orange teddy bear plush toy mask and exclude every other object and background pixel.,Focus the segmentation on the orange teddy bear plush toy region as the main plush toy.
36,thin_bird,brown and orange thin bird figure,a thin bird figure in brown and orange color with a slender bird-shaped body with a beak.,Segment only the brown thin bird figure in the scene.,Ignore all other objects and background; segment only the brown thin bird figure.,A thin bird figure in brown and orange color.,A thin bird figure in brown and orange color showing a slender bird-shaped body with a beak as a distinct brown and orange bird figure.,"brown thin bird figure, bird figure",a thin bird figure in brown and orange color as the main bird figure.,"A thin bird figure in brown and orange color with clear a slender bird-shaped body with a beak, standing out from the background.","A thin bird figure in brown and orange color, detailed bird figure object with a slender bird-shaped body with a beak.",a thin bird figure in brown and orange color.,A thin bird figure in brown and orange color that can be recognized as a bird figure with a slender bird-shaped body with a beak.,"A thin bird figure in brown and orange color acting as the primary bird figure in the image, characterized by a slender bird-shaped body with a beak.",brown and orange thin bird figure,a slender bird-shaped body with a beak bird figure brown thin bird figure,A distinctive bird figure: brown thin bird figure.,"Unique bird figure instance, namely a thin bird figure in brown and orange color.",A thin bird figure in brown and orange color is visible in the scene.,A thin bird figure in brown and orange color with a slender bird-shaped body with a beak is located prominently.,A thin bird figure in brown and orange color serving as a bird figure region.,A thin bird figure in brown and orange color appears as the key bird figure.,"brown and orange thin bird figure, a bird figure with a slender bird-shaped body with a beak.",The object is a thin bird figure in brown and orange color.,brown thin bird figure,bird figure brown thin bird figure,object=thin bird figure; type=bird figure; color=brown and orange; detail=a slender bird-shaped body with a beak,a thin bird figure in brown and orange color.,A thin bird figure in brown and orange color with shape and structure described as: a slender bird-shaped body with a beak.,A thin bird figure in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange bird figure,Strictly select the brown thin bird figure mask and exclude every other object and background pixel.,Focus the segmentation on the brown thin bird figure region as the main bird figure.
37,tortoise_plushy,green tortoise plush toy,a tortoise plush toy in green color with a soft body with a shell-like back and short limbs.,Segment only the green tortoise plush toy in the scene.,Ignore all other objects and background; segment only the green tortoise plush toy.,A tortoise plush toy in green color.,A tortoise plush toy in green color showing a soft body with a shell-like back and short limbs as a distinct green plush toy.,"green tortoise plush toy, plush toy",a tortoise plush toy in green color as the main plush toy.,"A tortoise plush toy in green color with clear a soft body with a shell-like back and short limbs, standing out from the background.","A tortoise plush toy in green color, detailed plush toy object with a soft body with a shell-like back and short limbs.",a tortoise plush toy in green color.,A tortoise plush toy in green color that can be recognized as a plush toy with a soft body with a shell-like back and short limbs.,"A tortoise plush toy in green color acting as the primary plush toy in the image, characterized by a soft body with a shell-like back and short limbs.",green tortoise plush toy,a soft body with a shell-like back and short limbs plush toy green tortoise plush toy,A distinctive plush toy: green tortoise plush toy.,"Unique plush toy instance, namely a tortoise plush toy in green color.",A tortoise plush toy in green color is visible in the scene.,A tortoise plush toy in green color with a soft body with a shell-like back and short limbs is located prominently.,A tortoise plush toy in green color serving as a plush toy region.,A tortoise plush toy in green color appears as the key plush toy.,"green tortoise plush toy, a plush toy with a soft body with a shell-like back and short limbs.",The object is a tortoise plush toy in green color.,green tortoise plush toy,plush toy green tortoise plush toy,object=tortoise plush toy; type=plush toy; color=green; detail=a soft body with a shell-like back and short limbs,a tortoise plush toy in green color.,A tortoise plush toy in green color with shape and structure described as: a soft body with a shell-like back and short limbs.,A tortoise plush toy in green color whose appearance is dominated by green tones.,green plush toy,Strictly select the green tortoise plush toy mask and exclude every other object and background pixel.,Focus the segmentation on the green tortoise plush toy region as the main plush toy.
38,wolf_plushie,gray and white wolf plush toy,a wolf plush toy in gray and white color with soft fabric wolf body with ears and muzzle.,Segment only the gray wolf plush toy in the scene.,Ignore all other objects and background; segment only the gray wolf plush toy.,A wolf plush toy in gray and white color.,A wolf plush toy in gray and white color showing soft fabric wolf body with ears and muzzle as a distinct gray and white plush toy.,"gray wolf plush toy, plush toy",a wolf plush toy in gray and white color as the main plush toy.,"A wolf plush toy in gray and white color with clear soft fabric wolf body with ears and muzzle, standing out from the background.","A wolf plush toy in gray and white color, detailed plush toy object with soft fabric wolf body with ears and muzzle.",a wolf plush toy in gray and white color.,A wolf plush toy in gray and white color that can be recognized as a plush toy with soft fabric wolf body with ears and muzzle.,"A wolf plush toy in gray and white color acting as the primary plush toy in the image, characterized by soft fabric wolf body with ears and muzzle.",gray and white wolf plush toy,soft fabric wolf body with ears and muzzle plush toy gray wolf plush toy,A distinctive plush toy: gray wolf plush toy.,"Unique plush toy instance, namely a wolf plush toy in gray and white color.",A wolf plush toy in gray and white color is visible in the scene.,A wolf plush toy in gray and white color with soft fabric wolf body with ears and muzzle is located prominently.,A wolf plush toy in gray and white color serving as a plush toy region.,A wolf plush toy in gray and white color appears as the key plush toy.,"gray and white wolf plush toy, a plush toy with soft fabric wolf body with ears and muzzle.",The object is a wolf plush toy in gray and white color.,gray wolf plush toy,plush toy gray wolf plush toy,object=wolf plush toy; type=plush toy; color=gray and white; detail=soft fabric wolf body with ears and muzzle,a wolf plush toy in gray and white color.,A wolf plush toy in gray and white color with shape and structure described as: soft fabric wolf body with ears and muzzle.,A wolf plush toy in gray and white color whose appearance is dominated by gray and white tones.,gray and white plush toy,Strictly select the gray wolf plush toy mask and exclude every other object and background pixel.,Focus the segmentation on the gray wolf plush toy region as the main plush toy.
39,wooden_pot,brown and orange wooden pot,a wooden pot in brown and orange color with a round wooden body with an open top.,Segment only the brown wooden pot in the scene.,Ignore all other objects and background; segment only the brown wooden pot.,A wooden pot in brown and orange color.,A wooden pot in brown and orange color showing a round wooden body with an open top as a distinct brown and orange container.,"brown wooden pot, container",a wooden pot in brown and orange color as the main container.,"A wooden pot in brown and orange color with clear a round wooden body with an open top, standing out from the background.","A wooden pot in brown and orange color, detailed container object with a round wooden body with an open top.",a wooden pot in brown and orange color.,A wooden pot in brown and orange color that can be recognized as a container with a round wooden body with an open top.,"A wooden pot in brown and orange color acting as the primary container in the image, characterized by a round wooden body with an open top.",brown and orange wooden pot,a round wooden body with an open top container brown wooden pot,A distinctive container: brown wooden pot.,"Unique container instance, namely a wooden pot in brown and orange color.",A wooden pot in brown and orange color is visible in the scene.,A wooden pot in brown and orange color with a round wooden body with an open top is located prominently.,A wooden pot in brown and orange color serving as a container region.,A wooden pot in brown and orange color appears as the key container.,"brown and orange wooden pot, a container with a round wooden body with an open top.",The object is a wooden pot in brown and orange color.,brown wooden pot,container brown wooden pot,object=wooden pot; type=container; color=brown and orange; detail=a round wooden body with an open top,a wooden pot in brown and orange color.,A wooden pot in brown and orange color with shape and structure described as: a round wooden body with an open top.,A wooden pot in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange container,Strictly select the brown wooden pot mask and exclude every other object and background pixel.,Focus the segmentation on the brown wooden pot region as the main container.
